created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
26:41.1,Consumer Express Laptops,JBL,JBL Wave Flex Wireless Earbuds with Upto 32 Hours Batterty Life - Black (Installment),JBL-WF-CE,jbl-wave-flex-wireless-earbuds-with-upto-32-hours-batterty-life-black-installment,100,25999,25999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/jbl-wf-ce_120525163952532460.jpg,Mobile Phones & Tablets
26:39.6,Consumer Express Laptops,JBL,JBL Wave Beam 2 Wireless Noise Cancelling Bluetooth Earbuds with Upto 40 Hours Playtime (Installment),JBL-WB2-CE,jbl-wave-beam-2-wireless-noise-cancelling-bluetooth-earbuds-with-upto-40-hours-playtime-installment,100,31999,31999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/jbl-wb2-ce_120525164035677491.jpg,Mobile Phones & Tablets
26:38.7,Consumer Express Laptops,Huawei,"Huawei Watch GT5 46mm with 1.43"" Amoled Display & Upto 14 Days Battery (Installment)",HW-GT5-CE,huawei-watch-gt5-46mm-with-143-amoled-display-upto-14-days-battery-installment,100,59999,59999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/hw-gt5-ce_120525164235129372.jpg,Watches
26:37.9,Consumer Express Laptops,Google,Google Pixel watch 3 Smart Watch (Installment),GP-W3-CE,google-pixel-watch-3-smart-watch-installment,100,126999,126999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/google-pixel-watch-3-8_120525164404758915.jpg,Watches
26:36.1,Consumer Express Laptops,Realme,Baseus Bowie MA20 True Wireless Earphones (Installment),Baseus-MA20-CE,baseus-bowie-ma20-true-wireless-earphones-installment,100,22999,22999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/baseus-ma20-ce_120525164532265382.jpg,Mobile Phones & Tablets
26:34.8,Consumer Express Laptops,Realme,Baseus Bowie E17 True Wireless Earbuds (Installment),Baseus-E17-CE,baseus-bowie-e17-true-wireless-earbuds-installment,100,11499,11499,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/baseus-e17-ce_120525164619318107.jpg,Mobile Phones & Tablets
26:33.8,Consumer Express Laptops,Apple,Apple iPad Pro 11 inch M4 256GB WiFi - Non Active - Sealed (Installment),AP-Ipp-CE,apple-ipad-pro-11-inch-m4-256gb-wifi-non-active-sealed-installment,100,299899,299899,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ipp-ce_120525164815847808.jpg,Mobile Phones & Tablets
26:32.9,Consumer Express Laptops,Apple,Apple iPad Mini 7 256GB WiFi - Non Active - Sealed (Installment),AP-IPM-CE,apple-ipad-mini-7-256gb-wifi-non-active-sealed-installment,100,181899,181899,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ipm7-ce_120525165457164379.jpg,Mobile Phones & Tablets
26:31.9,Consumer Express Laptops,Apple,Apple iPad Mini 7 128GB WiFi - Non Active - Sealed (Installment),AP-iPM7-CE,apple-ipad-mini-7-128gb-wifi-non-active-sealed-installment,100,148899,145399,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ipm-ce_120525165548246773.jpg,Mobile Phones & Tablets
26:30.9,Consumer Express Laptops,Apple,Apple iPad Air 6 13 inch M2 128GB WiFi - Non - Active - Sealed (Installment),AP-iPA6-CE,apple-ipad-air-6-13-inch-m2-128gb-wifi-non-active-sealed-installment,100,244399,244399,Mobile Phones & Tablets,https://cdn.comverseglobal.com/alfa/products/product_images/ap-ipa6-ce_120525165650570454.jpg,Mobile Phones & Tablets
